# Constructed from biom file
#OTU ID	1-ITS	10-ITS	11-ITS	12-ITS	13-ITS	14-ITS	15-ITS	16-ITS	17-ITS	18-ITS	19-ITS	2-ITS	20-ITS	21-ITS	22-ITS	23FD-ITS	24-ITS	25-ITS	26-ITS	27-ITS	28-ITS	29-ITS	3-ITS	30-ITS	4-ITS	5-ITS	6-ITS	7-ITS	8-ITS	9-ITS	taxonomy
357c74d5409ff03d5c5f71a89287297f	0.0	0.0	0.0	0.0	0.0	0.0	15561.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; s__unidentified
32e315833e2fffe7ffa8cfb7836fd5ad	0.0	1420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13768.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Pulvinula; s__unidentified
0f58e3eda752531a32a001ed185abb2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14937.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota
6d3280b1be55bf6a66bccd41a4d92d57	265.0	1887.0	14.0	1322.0	206.0	249.0	126.0	201.0	33.0	830.0	1314.0	88.0	0.0	71.0	140.0	338.0	0.0	547.0	1761.0	3067.0	78.0	0.0	0.0	0.0	240.0	519.0	0.0	674.0	644.0	37.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_solani
d3591f7424ffb3ef1f06766707bcd0da	513.0	0.0	0.0	0.0	1155.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	378.0	0.0	0.0	0.0	0.0	38.0	12.0	506.0	0.0	0.0	0.0	0.0	4808.0	0.0	0.0	6036.0	87.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cercophora; s__unidentified
5025f9ace34d113e6387aa2761920bbd	7053.0	489.0	0.0	0.0	21.0	0.0	21.0	70.0	108.0	0.0	582.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	766.0	0.0	0.0	0.0	14.0	279.0	215.0	114.0	1034.0	194.0	2256.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__unidentified; g__unidentified; s__unidentified
fe4a195a11465e4f21a2401bf1617280	442.0	382.0	0.0	288.0	656.0	405.0	89.0	0.0	37.0	90.0	0.0	2253.0	0.0	73.0	0.0	0.0	0.0	11.0	51.0	118.0	83.0	129.0	44.0	29.0	27.0	414.0	107.0	122.0	7191.0	125.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Ilyonectria; s__Ilyonectria_robusta
a4fba1a803aa85d3e853944e1ccbadb8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	658.0	40.0	0.0	0.0	104.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	11310.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Bionectria; s__Bionectria_rossmaniae
69d2c7911e691ef7031ac0f62bca9482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12048.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trimorphomycetaceae; g__Saitozyma; s__unidentified
4f982847195ab67f4210df0afaf75069	31.0	330.0	488.0	180.0	68.0	2493.0	253.0	167.0	241.0	387.0	27.0	1637.0	50.0	116.0	223.0	15.0	289.0	393.0	408.0	982.0	59.0	168.0	0.0	803.0	106.0	1156.0	62.0	167.0	102.0	431.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_equina
