taxon,family,lifeform,origin
Silene gallica,Caryophyllaceae,Therophyte,Native
Smilax aspera,Smilacaceae,Vine,Native
Solanum chenopodioides,Solanaceae,Nanophanerophyte,Alien
Solanum nigrum,Solanaceae,Therophyte,Native
Sonchus oleraceus,Asteraceae,Therophyte,Native
Sonchus tenerrimus,Asteraceae,Chamaephyte,Alien
Sporobolus indicus,Poaceae,Hemicryptophyte,Alien
Stachys officinalis,Lamiaceae,Hemicryptophyte,Native
Symphyotrichum squamatum,Asteraceae,Therophyte,Alien
Taraxacum gr. officinale,Asteraceae,Hemicryptophyte,Native
Teucrium scorodonia,Lamiaceae,Hemicryptophyte,Native
Torilis nodosa,Apiaceae,Therophyte,Native
Tradescantia fluminensis,Commelinaceae,Geophyte,Alien
Trifolium campestre,Fabaceae,Therophyte,Native
Trifolium pratense,Fabaceae,Hemicryptophyte,Native
Trifolium repens,Fabaceae,Hemicryptophyte,Native
Trifolium squamosum,Fabaceae,Therophyte,Native
Trifolium tomentosum,Fabaceae,Therophyte,Alien
Trisetum flavescens,Poaceae,Hemicryptophyte,Native
Ulex europaeus,Fabaceae,Nanophanerophyte,Native
Urtica dioica,Urticaceae,Hemicryptophyte,Native
Verbena officinalis,Verbenaceae,Hemicryptophyte,Native
Veronica arvensis,Plantaginaceae,Therophyte,Native
Veronica chamaedrys,Plantaginaceae,Chamaephyte,Native
Veronica montana,Plantaginaceae,Chamaephyte,Native
Veronica persica,Plantaginaceae,Therophyte,Alien
Vicia cracca,Fabaceae,Hemicryptophyte,Native
Vicia pubescens,Fabaceae,Therophyte,Native
Vicia sativa,Fabaceae,Therophyte,Native
Viola reichenbachiana s.l.,Violaceae,Hemicryptophyte,Native
Vulpia bromoides,Poaceae,Therophyte,Native
