"ASV","kingdom","phylum","class","order","family","genus","species","id","value","presence"
"c7fc44b6997a0b2dc2ad77d9423eb06d","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","Plectosphaerella oratosquillae","Xixon17",60,1
"7fbb93d82e4abea98be2b43aa3e311fd","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"Xixon17",492,1
"025e9f8070cfa905aa869508c3797e82","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps bassiana","Xixon17",44943,1
"804a43764498d03c0148907e0b098fd1","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis leptospora","Xixon17",215,1
"079240a1ba113328cf31bd0c39964cfb","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella minutissima","Xixon17",33,1
"c482cf5b6fd6c33f451b4ca49f6afec7","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA,"Xixon17",713,1
"6ce7604e712f963bbd0ae0f6b7a3cf5e","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria angustiovoidea","Xixon17",433,1
"5de946849ad4564eade890da05322858","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium marquandii","Xixon17",33,1
"4360403cd3e59f847933844e89565fb8","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","unidentified","Xixon17",96,1
"c2ccdd8026b4af9ce5ad56ade2354278","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","unidentified","Xixon17",18005,1
"b8da529bdb2ee550161ee4d5670d53ac","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces",NA,"Xixon17",93,1
"31604e1df27291116a71346824b6b5d7","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"Xixon17",17,1
"d92fee737509041769642828bd7f96c2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","unidentified","Xixon17",1422,1
"6d3280b1be55bf6a66bccd41a4d92d57","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium solani","Xixon17",33,1
"5025f9ace34d113e6387aa2761920bbd","Fungi","Ascomycota","Eurotiomycetes","Onygenales","unidentified","unidentified","unidentified","Xixon17",108,1
"fe4a195a11465e4f21a2401bf1617280","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria robusta","Xixon17",37,1
"4f982847195ab67f4210df0afaf75069","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala equina","Xixon17",241,1
"06236840621052548fd4c5d803bca5ca","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","unidentified","Xixon17",1734,1
"e82afa438c9c59f04f88919e7bc31387","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","unidentified","Xixon17",1515,1
"b2b46b20700252051be834ebed659074","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola",NA,"Xixon17",328,1
"84ef085f1563032e5e339acfc5f30811","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria macrodidyma","Xixon17",158,1
"9880835536d176d20a42767ea7ceaa88","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella tassiana","Xixon17",723,1
"e50a7bd42c7279b458222f8dcce63684","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps","Metacordyceps chlamydosporia","Xixon17",128,1
"bf5b3d89020b717ed5a86a0ad6f1c568","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum nigrum","Xixon17",72,1
"fac4e3ff623eae5ebacaf738d7c14c3d","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Boeremia","Boeremia exigua","Xixon17",153,1
"24e74d80a14c45a5cf5d90ec5a781cc7","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium solani","Xixon17",254,1
"a90f7820f8c8240177be68191aa0cab6","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella amoeboidea","Xixon17",100,1
"ee3301596353115d984dc0c9664e878c","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA,"Xixon17",126,1
"e5671d1da632186394d775f8d6096844","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium","Purpureocillium lilacinum","Xixon17",221,1
"c4a064ae7fb682189a258bace314e177","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"Xixon17",156,1
"b1fba0f15ae8baa50ed1288d6e219d90","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiotremataceae","Lophiotrema","Lophiotrema rubi","Xixon17",111,1
"596db44085ac4f04aa398ec756b857c1","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina","Xixon17",68,1
"5594e20da8256b5e1eb31895a54914b8","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma victoriae","Xixon17",19,1
"0979459d1fe7432809b31f007b702fac","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Occultibambusaceae","Brunneofusispora","Brunneofusispora sinensis","Xixon17",249,1
"8db8d326943084a27a0544052ebdd05b","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","unidentified","Xixon17",3037,1
"3d529afcf03adeac2cbe9d22116af760","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon","unidentified","Xixon17",110,1
"3f3391bfb13653b533f28f1a3fdac0cf","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"Xixon17",43,1
"0085f866d29715812b477d5693d527e2","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma heimaeyensis","Xixon17",107,1
"a6cfa7eeeee5b7cb93c772c3dbd592c8","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectria","Bionectria rossmaniae","Xixon17",34,1
"b182c7cfe95f156c64c7df8d87bc9727","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium","unidentified","Xixon17",80,1
"42d06bbba51e4022608aed61d803a6e5","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces","unidentified","Xixon17",1894,1
"2a268b96207d7a4025f9dcc79559a86a","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","Hygrocybe singeri","Xixon17",13,1
"5df88103cdf16b5d87d5749015f1a9fe","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium persicinum","Xixon17",50,1
"e9a348b5e5872ddc6d4e57a747088d80","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"Xixon17",46,1
"a7f16a00110dddc9ff99b5fad4b444a7","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS11","unidentified","unidentified","unidentified","Xixon17",34,1
"2a1a14b70111e14ce3a540b4dbfc6d3f","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudeurotium","Pseudeurotium hygrophilum","Xixon17",30,1
"ba90acce4cf99eb761783cd919e53551","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Xixon17",938,1
"e11d33a84715fae45a6dd586df933e46","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Xixon17",20,1
"f677838d42234b7b246fd6e5ea7751f9","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA,"Xixon17",33,1
"81b7437613ba69074c87b05ebdf96b15","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Gliomastix","Gliomastix roseogrisea","Xixon17",27,1
"9b70737f8857bfc077d89507ab2cc6bf","Fungi","Ascomycota","Eurotiomycetes",NA,NA,NA,NA,"Xixon17",472,1
"ab26eb2030f0ddac117cd5e0e009920b","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","unidentified","Xixon17",2034,1
"9146d946b7d36cea384f3f4562d7e70e","Fungi","Basidiomycota",NA,NA,NA,NA,NA,"Xixon17",124,1
"f65690a2963b22aa3cfb0116ef099573","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Sirastachys",NA,"Xixon17",101,1
"a653d4d77d0917caa228b7ff8842f4c1","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","unidentified","unidentified","Xixon17",26,1
"2f58b7775f6795b26806e13ac7be1e2e","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma carnescens","Xixon17",88,1
"31710f04c1d3def7bfea4ec1a43757f0","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella tassiana","Xixon17",63,1
"a39ba8b94eacb850e45f52b3b063a462","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma aeria","Xixon17",1038,1
"0f134df764e3f0ceef1bffc08aa6a3d5","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","Ganoderma gibbosum","Xixon17",14,1
"c7fce21175ba6509f7ca6c63276422ed","Fungi","Rozellomycota","unidentified","unidentified","unidentified","unidentified","unidentified","Xixon17",174,1
"c81138ead5fda9034aef0ba069409035","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma rhaphiolepidis","Xixon17",19,1
"4a4b309ceee7558b950b46a9418927cd","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria robusta","Xixon17",22,1
"0c9bdc3196f62c85601eaeb9b289447f","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS11","unidentified","unidentified","unidentified","Xixon17",17,1
"4372bbeeb07bf4fe921ef7cebf1a78c0","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","unidentified","unidentified","unidentified","Xixon17",54,1
"e633dd4efd3397f7cf1f7b56abe03ae7","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA,"Xixon17",62,1
"a907f1ebcdf65d958357b81d5abe2035","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS07","unidentified","unidentified","unidentified","Xixon17",12,1
"2ada98f50bd767e818ac1b1f2449170b","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"Xixon17",145,1
"1fbf6bd19328f30c9143e96162500621","Fungi","Ascomycota","Sordariomycetes","Xylariales",NA,NA,NA,"Xixon17",13,1
"38243fad02f1ecbeb9e13eb8043a9b53","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria",NA,"Xixon17",79,1
"698ea9176837a124b1beecb2120b8e07","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"Xixon17",22,1
"acbfcea61e0c3924c480139d38484f59","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","unidentified","unidentified","Xixon17",735,1
"4f52f1348f4282b8b96f7c06f463cd14","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora livistonae","Xixon17",23,1
"9a0516602df81e60182daf77d00ec7a0","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Dichotomopilus","Dichotomopilus subfunicola","Xixon17",138,1
"e4f3e138ed4970333acec72b6a983765","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium","Tetracladium furcatum","Xixon17",134,1
"2fcae15575eab598b12b9c14eea208d8","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",NA,"Xixon17",14,1
"242de4aff21be85e9fea996adac820d3","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium","Tetracladium setigerum","Xixon17",47,1
