"taxon","id","cover"
"Colletotrichum graminicola","Xixon11",18
"Colletotrichum graminicola","Xixon12",54
"Colletotrichum verruculosum","Xixon22",16
"Coniella fragariae","Xixon02",37
"Coniochaeta canina","Xixon15",275
"Coniochaeta canina","Xixon27",20
"Coniochaeta cypraeaespora","Xixon02",18
"Coniochaeta fasciculata","Xixon21",22
"Coniochaeta fasciculata","Xixon28",13
"Coniolariella hispanica","Xixon06",996
"Conioscypha pleiomorpha","Xixon19",132
"Conioscypha pleiomorpha","Xixon28",24
"Coniosporium apollinis","Xixon20",228
"Conlarium aquaticum","Xixon02",13
"Conocybe apala","Xixon10",30
"Conocybe apala","Xixon21",20
"Conocybe crispa","Xixon09",214
"Conocybe enderlei","Xixon07",16
"Conocybe sabulicola","Xixon23",32
"Conocybe striaepes","Xixon13",782
"Conocybe velutipes","Xixon12",43
"Conocybe velutipes","Xixon16",15
"Conocybe velutipes","Xixon18",27
"Constantinomyces oldenburgensis","Xixon19",324
"Coprinellus cinereopallidus","Xixon09",58
"Coprinellus disseminatus","Xixon28",37
"Coprinellus flocculosus","Xixon08",80
"Coprinellus flocculosus","Xixon13",15
"Coprinellus micaceus","Xixon02",12
"Coprinellus micaceus","Xixon12",17
"Coprinellus micaceus","Xixon13",59
"Coprinellus micaceus","Xixon18",16
"Coprinellus micaceus","Xixon20",29
"Coprinellus micaceus","Xixon22",25
"Coprinellus micaceus","Xixon28",32
"Coprinellus micaceus","Xixon29",33
"Coprinellus micaceus","Xixon30",26
"Coprinellus sclerocystidiosus","Xixon08",35
"Coprinellus subimpatiens","Xixon30",30
"Coprinopsis atramentaria","Xixon13",120
"Coprinopsis lagopus","Xixon01",15
"Coprinopsis lagopus","Xixon05",15
"Coprinopsis lagopus","Xixon08",1394
"Coprinopsis pachyderma","Xixon07",55
"Coprinopsis pachyderma","Xixon08",16
"Coprinopsis trispora","Xixon05",35
"Coprinopsis trispora","Xixon08",1792
"Coprinopsis trispora","Xixon13",1761
"Coprinopsis trispora","Xixon28",19
"Coprinopsis variegata","Xixon07",23
"Coprinopsis xenobia","Xixon05",33
